,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,4ejyZ4uJEXUURcgKp1kP8v,0,After Hours,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0,96,canadian contemporary r&b,0.661,0.571,5,-5.994,0,0.034,0.101,0.0095,0.124,0.163,108.957,audio_features,4ejyZ4uJEXUURcgKp1kP8v,361947,4
1,07KXEDMj78x68D884wgVEm,89,High Fashion (feat. Mustard),Roddy Ricch,757aE44tKEUQEqRuT6GnEB,1,96,melodic rap,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,audio_features,07KXEDMj78x68D884wgVEm,220487,4
2,4NY4FeAJyTd0fkkMI0POPn,67,Right Back,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0,93,melodic rap,0.632,0.697,3,-4.659,1,0.438,0.128,0.0,0.156,0.526,83.505,audio_features,4NY4FeAJyTd0fkkMI0POPn,162279,4
3,6wJYhPfqk3KGhHRG76WzOh,85,Blueberry Faygo,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,0,86,melodic rap,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,audio_features,6wJYhPfqk3KGhHRG76WzOh,162547,4
4,364dI1bYnvamSnBJ8JcNzN,90,Intentions,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,1,99,canadian pop,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,audio_features,364dI1bYnvamSnBJ8JcNzN,212869,4
5,0TrPqhAMoaKUFLR7iYDokf,85,Know Your Worth,Khalid,6LuN9FCkKOj5PcnpouEgny,1,96,alternative r&b,0.79,0.694,9,-7.726,0,0.0708,0.145,0.00252,0.281,0.508,103.007,audio_features,0TrPqhAMoaKUFLR7iYDokf,181436,4
6,0nbXyq5TXYPCO7pr3N8S4I,100,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0,96,melodic rap,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,0nbXyq5TXYPCO7pr3N8S4I,196653,4
7,5SON8GFVi5chitOTgM8QIe,67,Konclusions,YG,0A0FS04o6zMoto8OKPsDwY,1,86,cali rap,0.686,0.614,4,-7.897,0,0.36,0.103,0.0,0.0888,0.355,90.634,audio_features,5SON8GFVi5chitOTgM8QIe,171158,4
8,63dg6LdBGxa0QA93M2snLA,69,Another Day Gone (feat. Khalid),A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,1,93,melodic rap,0.643,0.608,5,-8.446,0,0.152,0.0984,0.000101,0.247,0.564,156.974,audio_features,63dg6LdBGxa0QA93M2snLA,188026,4
9,0hgMdo7KaYJwGGmigSrF4b,60,Reasons,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,0,79,new jersey rap,0.75,0.843,1,-4.282,0,0.2,0.172,0.0,0.186,0.885,149.023,audio_features,0hgMdo7KaYJwGGmigSrF4b,195705,4
