,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,0nbXyq5TXYPCO7pr3N8S4I,100,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0,96,melodic rap,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,0nbXyq5TXYPCO7pr3N8S4I,196653,4
1,5yY9lUy8nbvjM1Uyo1Uqoc,96,Life Is Good (feat. Drake),Future,1RyvyyTE3xzB2ZywiAwp0i,1,94,atl hip hop,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,audio_features,5yY9lUy8nbvjM1Uyo1Uqoc,237735,4
2,696DnlkuDOXcMAnKlTgXXK,97,ROXANNE,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,0,89,pop rap,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,audio_features,696DnlkuDOXcMAnKlTgXXK,163636,5
3,7rSnKi58HPIVC0FVyh04Q1,71,Shake The Room (feat. Quavo),Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,1,81,rap,0.733,0.684,2,-4.748,1,0.177,0.142,0.0,0.179,0.437,142.04,audio_features,7rSnKi58HPIVC0FVyh04Q1,165640,4
4,6Ozh9Ok6h4Oi1wUSLtBseN,91,BOP,DaBaby,4r63FhuTkUYltbVAg5TQnk,0,95,nc hip hop,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,audio_features,6Ozh9Ok6h4Oi1wUSLtBseN,159715,4
5,0RjRqCa8qKn16lgeKiIcWt,48,Want Beef? - Remix,YSN Flow,1je11NKORfLMSjgSNP0DPF,1,63,melodic rap,0.855,0.558,7,-5.309,1,0.228,0.446,0.0,0.354,0.639,120.943,audio_features,0RjRqCa8qKn16lgeKiIcWt,161157,4
6,3ClBKQkKoaUQ6UOhe2xlJK,86,Good News,Mac Miller,4LLpKhyESsyAXpc4laK94U,0,93,pittsburgh rap,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,audio_features,3ClBKQkKoaUQ6UOhe2xlJK,342040,4
7,6jGvadjHIUW8yiRXxuKOZs,32,Blacc Diamonds,thtbull.,1pdlPYp2fj2yWOplpkex07,1,22,NA,0.815,0.461,8,-11.1,1,0.196,0.213,0.0,0.112,0.33,115.983,audio_features,6jGvadjHIUW8yiRXxuKOZs,135549,4
8,3Yh9lZcWyKrK9GjbhuS0hR,81,Good as Hell,Lizzo,56oDRnqbIiwx4mymNEv7dS,0,87,escape room,0.682,0.919,0,-3.18,0,0.0875,0.256,0.0,0.442,0.535,95.982,audio_features,3Yh9lZcWyKrK9GjbhuS0hR,159736,4
9,6ede6Tky0YYKyUKqKuEpQf,69,Christopher Walking,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,0,81,rap,0.774,0.747,6,-5.113,0,0.199,0.00959,0.0,0.0512,0.713,140.996,audio_features,6ede6Tky0YYKyUKqKuEpQf,191661,4
10,3QzAOrNlsabgbMwlZt7TAY,90,Ballin' (with Roddy Ricch),Mustard,0YinUQ50QDB7ZxSCLyQ40k,1,88,cali rap,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,audio_features,3QzAOrNlsabgbMwlZt7TAY,180435,4
11,21jGcNKet2qwijlDFuPiPb,96,Circles,Post Malone,246dkjvS1zLTtiykXe5h60,0,98,dfw rap,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,21jGcNKet2qwijlDFuPiPb,215280,4
12,7xPwzL6pDuDCfzNp26bFdR,33,Pick & Choose,J-Sharp,6x0hBtb5apUrBQhQMFttsm,0,30,NA,0.786,0.48,4,-10.797,0,0.155,0.217,0.0,0.0657,0.141,82.982,audio_features,7xPwzL6pDuDCfzNp26bFdR,260364,4
13,6Gg1gjgKi2AK4e0qzsR7sd,90,Bandit (with YoungBoy Never Broke Again),Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,1,98,chicago rap,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,audio_features,6Gg1gjgKi2AK4e0qzsR7sd,189323,4
14,7JPcIr92MoTeQhGsEcVQsX,42,How We Use to Vibe,Bandit Gang Marco,5oSFZH3AgLRQxBi87McLjP,0,44,deep pop r&b,0.508,0.477,10,-11.628,1,0.166,0.0373,0.0,0.16,0.589,132.1,audio_features,7JPcIr92MoTeQhGsEcVQsX,174720,4
