,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,30Ih2VLYmGIWameeQeyaDr,55,"Eat, Sleep, Wake (Nothing But You) - Single Version",Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,0,72,alternative dance,0.6,0.821,1,-7.956,0,0.0266,5.12e-05,0.77,0.519,0.287,117.013,audio_features,30Ih2VLYmGIWameeQeyaDr,218493,4
1,1GZH9Sv6zCIse2GKihRHKy,58,Summer Girl,HAIM,4Ui2kfOqGujY81UcPrb5KE,0,71,dance pop,0.512,0.544,1,-7.953,0,0.226,0.356,0.0159,0.169,0.616,99.927,audio_features,1GZH9Sv6zCIse2GKihRHKy,205027,4
2,39exKIvycQDgs4T6uXdyu0,69,Harmony Hall,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,0,76,baroque pop,0.653,0.76,11,-6.086,1,0.0479,0.475,0.000129,0.0917,0.6,98.008,audio_features,39exKIvycQDgs4T6uXdyu0,308733,4
3,0d6bZwEAi1XblGRhnzPfgC,66,"Hey, Ma",Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,0,79,chamber pop,0.411,0.285,0,-10.97,1,0.0306,0.872,0.000354,0.0993,0.213,72.139,audio_features,0d6bZwEAi1XblGRhnzPfgC,216707,4
4,5Y42u37PlyQXegnuI1Hpo1,60,Funeral Singers,Sylvan Esso,39vA9YljbnOApXKniLWBZv,1,66,art pop,0.803,0.431,8,-10.817,1,0.0335,0.691,0.000699,0.106,0.212,103.948,audio_features,5Y42u37PlyQXegnuI1Hpo1,219375,4
5,6X3FZtz4cKU2MKSQlGG9ZG,60,Bags,Clairo,3l0CmX0FuQjFxr8SK7Vqag,0,81,bedroom pop,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,audio_features,6X3FZtz4cKU2MKSQlGG9ZG,260520,4
6,2TSt5uNcRSnMbxYJ5AjPvt,59,Valleys (My Love),Whitney,32aUoW94mJ7xTJI7fG0V1G,0,66,chamber pop,0.57,0.61,11,-7.146,1,0.0347,0.632,0.567,0.099,0.504,88.674,audio_features,2TSt5uNcRSnMbxYJ5AjPvt,236453,4
7,3O8X1DE9btbzy4UH9cSX9a,74,Borderline,Tame Impala,5INjqkS1o8h1imAzPqGZBb,0,88,australian psych,0.598,0.71,0,-6.839,0,0.0272,0.0476,1.77e-05,0.1,0.726,97.976,audio_features,3O8X1DE9btbzy4UH9cSX9a,274294,4
8,5wCVLW9qMtIY9IkBeyYnh6,67,When Am I Gonna Lose You,Local Natives,75dQReiBOHN37fQgWQrIAJ,0,69,chamber pop,0.452,0.834,11,-4.657,1,0.0967,0.0417,0.00036,0.119,0.514,142.088,audio_features,5wCVLW9qMtIY9IkBeyYnh6,264213,4
9,453xpk4hea68C8HG4y0DdK,58,You Had Your Soul With You,The National,2cCUtGK9sDU2EoElnk0GNB,0,73,chamber pop,0.521,0.777,5,-5.824,1,0.0878,0.0194,0.0958,0.0866,0.276,154.007,audio_features,453xpk4hea68C8HG4y0DdK,206280,4
