,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,6shny2UVkpaLc7jEKEoePa,60,¿ (feat. Halsey),Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,1,80,melodic metalcore,0.51,0.789,2,-6.384,1,0.116,0.00799,0.674,0.838,0.13,155.971,audio_features,6shny2UVkpaLc7jEKEoePa,313345,4
1,1y4jsQt7MjnZhiD1L6qFBC,76,Cradles,Sub Urban,7gXb99Sf9nNmpNYeAgIQFG,0,73,NA,0.534,0.589,1,-1.865,1,0.325,0.256,6.02e-05,0.176,0.632,78.616,audio_features,1y4jsQt7MjnZhiD1L6qFBC,209829,4
2,57F0OIqDnhEIPBI6SHqHJI,55,Opie Taylor,Yelawolf,68DWke2VjdDmA75aJX5C57,0,73,alabama rap,0.802,0.706,7,-7.774,1,0.147,0.00356,0.168,0.0366,0.736,96.02,audio_features,57F0OIqDnhEIPBI6SHqHJI,233405,4
3,4O2XaXdnpyUPj90lNq1bIR,68,Simmer,Hayley Williams,6Rx1JKzBrSzoKQtmbVmBnM,0,73,NA,0.781,0.598,7,-7.418,1,0.043,0.213,0.00271,0.118,0.362,109.97,audio_features,4O2XaXdnpyUPj90lNq1bIR,266116,4
4,7zpMz3am0n83WmDxVqp9GQ,60,Hallucinations,PVRIS,6oFs3qk4VepIVFdoD4jmsy,0,65,electropop,0.635,0.711,11,-4.742,0,0.034,0.044,0.0134,0.105,0.562,107.997,audio_features,7zpMz3am0n83WmDxVqp9GQ,223213,4
5,17KGTOb8fkxlyTnB5eFnsh,59,Sing To Me,MISSIO,2HOMW1liAxI3URnEq95SMS,1,69,indie poptimism,0.55,0.872,2,-4.742,0,0.0588,0.0882,0.00029,0.0617,0.618,142.039,audio_features,17KGTOb8fkxlyTnB5eFnsh,189920,4
6,5lIwTyrz9zw2f9yr1ckgex,52,Into Happiness,Phantogram,1l9d7B8W0IHy3LqWsxP2SH,0,65,alternative dance,0.18,0.798,5,-4.149,0,0.0429,0.00297,9.44e-05,0.22,0.134,141.048,audio_features,5lIwTyrz9zw2f9yr1ckgex,201093,5
7,3yxtsBzVlDBzRoBhHS3TpK,62,Happy Pill,grandson,4ZgQDCtRqZlhLswVS6MHN4,1,75,modern alternative rock,0.666,0.785,7,-6.559,1,0.0678,0.000816,0.356,0.14,0.654,136.025,audio_features,3yxtsBzVlDBzRoBhHS3TpK,163892,4
8,38KnGApPKzMi920Grouoij,37,Snake,Halflives,4er5NZNuc83Cev96LA28ID,0,44,pixie,0.423,0.552,8,-6.062,1,0.0757,0.123,0.000474,0.075,0.219,176.062,audio_features,38KnGApPKzMi920Grouoij,226446,4
9,6CYFhcdVb2PhHUT7XhLdHS,45,Grand Paradise - Mike Shinoda Mix,Foxing,2dfxY7YDuYCUtWFzWTS6IR,1,53,alternative emo,0.543,0.677,5,-7.226,1,0.0463,0.0882,0.00444,0.162,0.0986,89.994,audio_features,6CYFhcdVb2PhHUT7XhLdHS,257000,4
10,2z5xSPIlMpVhqbBhYGTYht,43,Opalite,Martin Luke Brown,7L2rePM60cIztWZ7cLlskE,0,47,indie anthem-folk,0.728,0.664,2,-5.543,1,0.0438,0.00973,0.000515,0.37,0.105,104.021,audio_features,2z5xSPIlMpVhqbBhYGTYht,211749,4
11,4YNySWl0EeDoibxoS7Wubo,53,Fallout,UNSECRET,721Thvnq29Or9LXUyfF75c,1,55,rebel blues,0.53,0.536,10,-8.217,1,0.0391,0.335,0.0259,0.0939,0.188,109.911,audio_features,4YNySWl0EeDoibxoS7Wubo,213771,4
12,2sYvZnDtkQ7Fa0JdjRdqZD,47,Eyelids,Saro,39kjdm4oUJo40vZgcetOGV,0,50,indie electropop,0.62,0.684,6,-7.944,0,0.0393,0.369,0.00258,0.101,0.21,107.953,audio_features,2sYvZnDtkQ7Fa0JdjRdqZD,238056,4
13,73ZdmBUAwjttryuZ6Tnus2,51,Hanging With Ghosts (feat. Good Charlotte & Goody Grace),Yung Pinch,61qMnYXa1GxSBoV3IiYKjZ,1,73,emo rap,0.654,0.741,4,-4.747,0,0.0297,0.0586,0.0,0.144,0.146,90.951,audio_features,73ZdmBUAwjttryuZ6Tnus2,205697,4
14,4poqovyJtmlKMDnSz6QwsE,54,The Kid I Used to Know,Arrested Youth,4UhExRgMW9QR7oNmTI2lPG,0,60,modern alternative rock,0.638,0.776,9,-4.61,1,0.083,0.0731,1.9e-06,0.18,0.267,160.1,audio_features,4poqovyJtmlKMDnSz6QwsE,145801,4
15,7a0VLUciBUdE2RmpEnod9O,53,Fools,ufo ufo,1TsvuGn3XJ4F04fRavTonu,0,43,la pop,0.702,0.603,7,-6.833,0,0.0598,0.168,0.0,0.213,0.717,106.023,audio_features,7a0VLUciBUdE2RmpEnod9O,220085,4
16,58L9BLQuOAwAzHhCvTpp3l,47,Feel Real Pretty,Paper Idol,6dewigIOIcG6m1XGsG4Mc3,0,43,NA,0.69,0.834,2,-4.155,1,0.0672,0.455,0.00038,0.066,0.313,108.032,audio_features,58L9BLQuOAwAzHhCvTpp3l,183128,4
17,1DkX0AcEDzuFeh4TEAl143,67,GRRRLS,AViVA,50tDsT4wwq8FCMJNkn1D67,0,65,indie poptimism,0.549,0.656,3,-6.515,1,0.0438,0.0351,1.19e-06,0.129,0.594,180.043,audio_features,1DkX0AcEDzuFeh4TEAl143,228904,4
18,64keBu68cOQtBAGlWAbChH,1,Not Human,elegant slims,4fvBJY4JqprqAOrvEu6aAY,0,37,nyc pop,0.52,0.815,11,-4.758,0,0.0488,0.00172,1.92e-06,0.089,0.466,91.972,audio_features,64keBu68cOQtBAGlWAbChH,199387,4
19,3hlFUleIxYLQyOt44DTqRX,43,Wave,Roseburg,6aYFM3YVoyI9q7DuTRY9nY,0,40,NA,0.562,0.862,11,-3.895,0,0.0513,0.0104,0.0,0.0624,0.835,75.096,audio_features,3hlFUleIxYLQyOt44DTqRX,186129,4
