,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,3ezkJgagRPZ39KCTrKcSI7,59,Ghosts 'n' Stuff,deadmau5,2CIMQHirSU0MQqyYHq0eOx,1,72,big room,0.611,0.613,8,-6.942,1,0.129,4.73e-05,0.105,0.159,0.491,127.979,audio_features,3ezkJgagRPZ39KCTrKcSI7,328747,4
1,4ta97KyyCWLCQAAFtOWFpy,54,Language,Porter Robinson,3dz0NnIZhtKKeXZxLOxCam,0,69,big room,0.737,0.614,6,-6.001,0,0.4,0.0168,0.0534,0.0682,0.406,127.987,audio_features,4ta97KyyCWLCQAAFtOWFpy,368476,4
2,5xCzhqN5z5tbhQhwt7lGRR,33,Levels - Radio Edit,Avicii,1vCWHaC5f2uS3yhpwWbIA6,0,89,big room,0.604,0.878,1,-5.657,0,0.0364,0.043,0.822,0.281,0.522,126.029,audio_features,5xCzhqN5z5tbhQhwt7lGRR,201907,4
3,2dpaYNEQHiRxtZbfNsse99,87,Happier,Marshmello,64KEffDW9EtZ1y2vBYgq8T,1,90,brostep,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,214290,4
4,0lYBSQXN6rCTvUZvg9S0lU,80,Let Me Love You,DJ Snake,540vIaP2JwjQb9dm3aArA4,1,87,dance pop,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,audio_features,0lYBSQXN6rCTvUZvg9S0lU,205947,4
5,6vwZrvHHIskRGhSPdyxX7l,31,Wallflower,At Most Fears,1FXkXtn9mszDmqyXxqMbQb,1,21,NA,0.631,0.681,11,-7.142,0,0.0284,0.224,0.784,0.111,0.165,132.002,audio_features,6vwZrvHHIskRGhSPdyxX7l,308087,4
6,6ho0GyrWZN3mhi9zVRW7xi,77,Losing It,FISHER,1VJ0briNOlXRtJUAzoUJdt,0,74,australian house,0.76,0.964,2,-5.844,1,0.0576,0.00182,0.7,0.0974,0.641,125.0,audio_features,6ho0GyrWZN3mhi9zVRW7xi,248036,4
7,4vdAfDiZUhFbm5CSqIsMHA,47,On A Good Day - Above & Beyond Radio Edit,Oceanlab,0aTdKgInKeMlNnwWSa1YPT,1,52,progressive house,0.6,0.774,6,-7.243,1,0.0256,0.0379,0.0134,0.191,0.8,136.007,audio_features,4vdAfDiZUhFbm5CSqIsMHA,221367,4
8,4tTEEMPM1knn2k92XFDdXX,45,I Remember - Vocal Mix,deadmau5,2CIMQHirSU0MQqyYHq0eOx,1,72,big room,0.851,0.511,11,-7.128,0,0.0497,0.0175,0.353,0.221,0.613,127.999,audio_features,4tTEEMPM1knn2k92XFDdXX,593613,4
9,2Fn3coxd0xAZ09JtrgcgHa,9,Middle,DJ Snake,540vIaP2JwjQb9dm3aArA4,1,87,dance pop,0.604,0.745,9,-4.103,1,0.0385,0.0161,0.0,0.0542,0.205,104.941,audio_features,2Fn3coxd0xAZ09JtrgcgHa,220573,4
10,3Uoe0ZdEy9lLrXj1HhXx9H,8,Fast Car,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,1,85,dance pop,0.672,0.578,9,-6.621,1,0.0569,0.469,0.0,0.312,0.548,113.945,audio_features,3Uoe0ZdEy9lLrXj1HhXx9H,212424,4
11,2Foc5Q5nqNiosCNqttzHof,75,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,1,84,electro,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,audio_features,2Foc5Q5nqNiosCNqttzHof,248413,4
12,1hZfrOxv7MV8sboh29dC3r,27,Give Me a Reason,Beave,4hdzhylhAgcDNgyyMTNQaS,1,45,deep groove house,0.704,0.794,8,-8.929,1,0.0935,0.024,0.00379,0.335,0.212,124.013,audio_features,1hZfrOxv7MV8sboh29dC3r,145317,4
13,6YUTL4dYpB9xZO5qExPf05,77,Summer,Calvin Harris,7CajNmpbOovFoOoasH2HaY,0,90,dance pop,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,audio_features,6YUTL4dYpB9xZO5qExPf05,222533,4
14,66hayvUbTotekKU3H4ta1f,74,Where Are Ü Now (with Justin Bieber),Jack Ü,1HxJeLhIuegM3KgvPn8sTa,1,69,edm,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,audio_features,66hayvUbTotekKU3H4ta1f,250286,4
15,6uBhi9gBXWjanegOb2Phh0,77,Stay,Zedd,2qxJFvFYMEDqd7ui6kSAcq,1,85,complextro,0.69,0.622,5,-5.025,0,0.0622,0.253,0.0,0.116,0.544,102.04,audio_features,6uBhi9gBXWjanegOb2Phh0,210091,4
16,2WapmUdFpzEo5QaghBR8xU,29,Move for Me,Kaskade,6TQj5BFPooTa08A7pk8AQ1,1,74,big room,0.561,0.771,1,-5.533,1,0.036,0.0344,0.000151,0.0756,0.211,128.025,audio_features,2WapmUdFpzEo5QaghBR8xU,235873,4
17,2jb5Wg3OTKDfeyLZSbizou,47,Cry (Just a Little),Bingo Players,1pbHrVayIcVpHI9z97u4bK,0,62,big room,0.744,0.483,4,-7.712,0,0.0408,0.0957,0.0322,0.408,0.298,125.953,audio_features,2jb5Wg3OTKDfeyLZSbizou,167845,4
18,0VffaI2jwQknRrxpECYHsF,64,Greyhound,Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs,0,71,big room,0.723,0.806,0,-4.989,1,0.0521,0.00666,0.876,0.276,0.539,124.976,audio_features,0VffaI2jwQknRrxpECYHsF,410097,4
19,1uPbBG2kCrxoEbHfKuOOq0,31,Art of Letting Go,Milou,5ZTGOpX17dzG70GjG9lX8w,0,25,NA,0.523,0.865,9,-4.595,0,0.0693,0.109,3.95e-05,0.107,0.15,128.022,audio_features,1uPbBG2kCrxoEbHfKuOOq0,253765,4
20,3DigcSlRlbnFRsaeF4eGyj,20,Caught in a Dream,Wink,0OuW9r1oDDgZH7PsBGA1E6,0,22,NA,0.402,0.483,11,-6.093,0,0.0347,0.154,0.272,0.122,0.205,173.935,audio_features,3DigcSlRlbnFRsaeF4eGyj,339310,4
21,6PUIzlqotEmPuBfjbwYWOB,71,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,1,89,art pop,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,audio_features,6PUIzlqotEmPuBfjbwYWOB,214912,4
22,4XbOv2FDnldmx53sOWdaVz,38,Soul Hold,Shaunt.wav,5qbMudkAZQ4vApcUzS4ick,0,31,NA,0.657,0.535,0,-11.662,1,0.0452,0.58,0.00444,0.0946,0.323,110.073,audio_features,4XbOv2FDnldmx53sOWdaVz,250909,4
23,6AuVeIzZZxeIQTXhQARyT2,42,In My Mind (feat. Georgi Kay) - Axwell Radio Edit,Ivan Gough,5aBWZE8TOaaA9O50ENS3EM,1,53,big room,0.51,0.831,7,-4.514,0,0.0606,0.0435,3.14e-06,0.346,0.376,128.025,audio_features,6AuVeIzZZxeIQTXhQARyT2,185625,4
24,4Mq3WBbOdwmy4qDxV3sN5J,0,Pressure - Alesso UK Radio Edit,Nadia Ali,1C60viSZv6BoYtrnkZ44g5,1,58,edm,0.516,0.907,8,-6.412,1,0.0339,0.000118,0.4,0.292,0.115,128.046,audio_features,4Mq3WBbOdwmy4qDxV3sN5J,163578,4
