,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,24Yi9hE78yPEbZ4kxyoXAI,90,Roses - Imanbek Remix,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,1,83,melodic rap,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0105,0.353,0.898,121.974,audio_features,24Yi9hE78yPEbZ4kxyoXAI,176840,4
1,2xyIwHKujL7tSgkK2Waj2s,60,All Around The World (La La La),R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1,85,big room,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,audio_features,2xyIwHKujL7tSgkK2Waj2s,147840,4
2,7qZOnik9K8Mv987ccBjwwj,69,Wait Another Day,Mike Williams,3IpvVrP3VLhruTmnququq7,1,75,big room,0.727,0.912,8,-3.594,0,0.0377,0.0272,0.000443,0.118,0.671,126.023,audio_features,7qZOnik9K8Mv987ccBjwwj,179217,4
3,3g1MMelMBxLjtKwcIVFe0N,62,Dance Monkey,Skylike,7d3vMJRZUY5JtX9UElKBBN,1,52,NA,0.781,0.855,8,-4.853,0,0.232,0.327,0.000248,0.247,0.311,118.112,audio_features,3g1MMelMBxLjtKwcIVFe0N,192203,4
4,0vlbj7VAsdXpzzpQp415ZU,53,Tell You,Dallerium,4fxRhGF08oSVvvjHoK6QNO,1,50,deep groove house,0.556,0.787,4,-5.577,0,0.205,0.17,0.264,0.83,0.325,121.601,audio_features,0vlbj7VAsdXpzzpQp415ZU,178065,4
5,7CHi4DtfK4heMlQaudCuHK,91,Lose Control,MEDUZA,0xRXCcSX89eobfrshSVdyu,1,85,pop house,0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,audio_features,7CHi4DtfK4heMlQaudCuHK,168387,4
6,6BwN05qKw4Q8bNoq3rYuz7,67,Drop It,Tujamo,2vVNxGBvKRQMWwI5c8KmYh,1,71,big room,0.747,0.897,5,-4.257,0,0.0642,0.0104,0.763,0.0541,0.177,126.036,audio_features,6BwN05qKw4Q8bNoq3rYuz7,175714,4
7,5s0w5l5dDq2PBlftCBJeQt,55,Hot Girl Bummer,Fella,0dm0kGiPyhp2mps5nutUUa,0,52,lithuanian electronic,0.687,0.803,6,-6.482,0,0.374,0.291,0.000112,0.248,0.69,128.048,audio_features,5s0w5l5dDq2PBlftCBJeQt,204404,4
8,0TqXzghrpKOZhAfz7H6emC,50,What's the Point,GLDN,6a4KLb4BJJNm3uJVKNEvWP,0,54,NA,0.726,0.751,11,-4.336,0,0.0809,0.0408,0.0,0.0784,0.45,124.976,audio_features,0TqXzghrpKOZhAfz7H6emC,168000,4
9,2nA2F3JwEj3FoR9Pxgnkln,60,Lalala - Oliver Heldens Remix,Y2K,6USMTwO0MNDnKte5a5h0xx,1,79,pop rap,0.751,0.8,2,-6.398,1,0.0375,0.000461,0.000521,0.132,0.48,126.009,audio_features,2nA2F3JwEj3FoR9Pxgnkln,249547,4
10,4Tvw0lweq9l2JPQKFbpbBQ,74,Better When You're Gone,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,1,90,dance pop,0.647,0.795,1,-3.548,0,0.0372,0.0635,0.0,0.188,0.409,127.992,audio_features,4Tvw0lweq9l2JPQKFbpbBQ,192402,4
11,4J71mK7ZktHvICVcJ2l7pd,41,Tried to Love (Happi Remix),Madism,5UUdxfBMwm0hLlLgnZtBFv,1,62,tropical house,0.712,0.942,4,-4.584,0,0.0438,0.031,0.000752,0.36,0.127,128.034,audio_features,4J71mK7ZktHvICVcJ2l7pd,206250,4
12,0YU17F0BlVXvmx5ytsR43w,75,Monster,LUM!X,0TKFPt9w0AAEnhB9bd0pLy,1,71,melbourne bounce international,0.83,0.794,8,-6.279,0,0.432,0.0253,0.0248,0.106,0.607,128.16,audio_features,0YU17F0BlVXvmx5ytsR43w,154226,4
13,5p1ex0pXv6jSPJ6QbumQpD,27,Piece Of Your Heart,MEDUZA,0xRXCcSX89eobfrshSVdyu,1,85,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,audio_features,5p1ex0pXv6jSPJ6QbumQpD,152913,4
14,7MMij3dmggsOg37dqV5P3G,57,Losing Count,HADES,10MePwUrEFRfJ3lN2FLs4b,0,48,NA,0.685,0.857,2,-6.648,0,0.0627,0.113,1.73e-06,0.0497,0.36,125.008,audio_features,7MMij3dmggsOg37dqV5P3G,177360,4
15,4aTtHoSBB0CuQGA6vXBNyp,69,Home (feat. Bonn),Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,1,87,big room,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,audio_features,4aTtHoSBB0CuQGA6vXBNyp,239067,4
16,2A0CxheiQGQdCiKtOR7jMP,70,The Passenger (LaLaLa),LUM!X,0TKFPt9w0AAEnhB9bd0pLy,1,71,melbourne bounce international,0.673,0.771,0,-6.178,0,0.137,0.0609,0.000277,0.209,0.687,125.061,audio_features,2A0CxheiQGQdCiKtOR7jMP,159360,4
17,5bLYTndZBHgOzc6pzb8VBb,51,Ooh Aah,Púr Múdd,2xe5h8nbHc1yYGKUVL8zce,0,42,estonian pop,0.714,0.77,10,-6.596,1,0.0384,0.00882,0.00012,0.117,0.379,123.001,audio_features,5bLYTndZBHgOzc6pzb8VBb,161216,4
18,4AkCyd9Nlbt8JprQq9V6o2,71,All Comes Back To You,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,0,85,big room,0.726,0.763,4,-6.872,1,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,audio_features,4AkCyd9Nlbt8JprQq9V6o2,160312,4
19,2Y3P9IFAeNGH9qTZDp9N6W,66,Day Or Night,Mike Williams,3IpvVrP3VLhruTmnququq7,0,75,big room,0.619,0.881,5,-4.087,0,0.0335,0.00826,0.0941,0.0995,0.534,128.036,audio_features,2Y3P9IFAeNGH9qTZDp9N6W,174375,4
20,2VFjKigcsQPf1SIyQcTAum,38,When You Need It,Dang3r,1w3bZrV4XveeRTaCJAtkGr,1,48,NA,0.75,0.816,1,-6.26,0,0.0872,0.131,0.000154,0.0732,0.331,123.961,audio_features,2VFjKigcsQPf1SIyQcTAum,158710,4
21,0wL1YMjvumpm0DIjqa2TZ5,58,Clouds,Zonderling,0bMKf3lIYR9GaNTdFKkTOr,1,65,big room,0.681,0.926,1,-5.362,1,0.0957,0.0495,0.84,0.778,0.0813,125.953,audio_features,0wL1YMjvumpm0DIjqa2TZ5,151882,4
