,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,68Dei85eTm4lTTUauZyCtw,39,Holla Holla,Akon,0z4gvV4rjIZ9wHck67ucSV,1,83,dance pop,0.595,0.639,1,-5.797,0,0.252,0.0507,0.0,0.126,0.604,149.907,audio_features,68Dei85eTm4lTTUauZyCtw,180187,4
1,3LN41NUdHkyNqQhi9gExMm,64,Hypnotized (feat. Akon),Plies,3jksrX4oBklxR78ft8gv3j,1,69,dance pop,0.84,0.571,10,-7.421,1,0.0797,0.16,0.0,0.406,0.617,116.59,audio_features,3LN41NUdHkyNqQhi9gExMm,188493,4
2,1Q1jlFs004vwB0DOznii3K,51,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,3aQeKQSyrW4qWr35idm0cy,1,83,dance pop,0.691,0.542,1,-8.161,1,0.145,0.0112,0.0,0.098,0.587,80.052,audio_features,1Q1jlFs004vwB0DOznii3K,230853,4
3,3ZxOQSxY6h93AfYTRKJKgb,36,I'm N Luv (Wit a Stripper) (feat. Mike Jones),T-Pain,3aQeKQSyrW4qWr35idm0cy,1,83,dance pop,0.731,0.368,8,-10.38,1,0.0688,0.00544,0.0,0.193,0.512,145.171,audio_features,3ZxOQSxY6h93AfYTRKJKgb,265333,4
4,03ErxNvdyiGmN1x4vaNDY2,35,Bartender (feat. Akon),T-Pain,3aQeKQSyrW4qWr35idm0cy,1,83,dance pop,0.817,0.402,8,-8.045,1,0.091,0.054,0.0,0.219,0.463,104.911,audio_features,03ErxNvdyiGmN1x4vaNDY2,238800,4
5,2Z2JnZNB7lbUdKR5GynUlV,49,Like This,MiMS,76RrKpsvOmSKG8CIjROdSG,0,52,pop rap,0.771,0.693,7,-7.483,1,0.293,0.0317,0.0,0.342,0.525,97.163,audio_features,2Z2JnZNB7lbUdKR5GynUlV,203627,4
6,0iYebKFUSfF72fUu2OW6ZT,69,Super Bass,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,0,95,dance pop,0.72,0.861,11,-4.339,1,0.209,0.269,5.11e-06,0.601,0.669,126.991,audio_features,0iYebKFUSfF72fUu2OW6ZT,200013,4
7,1oHNvJVbFkexQc0BpQp7Y4,67,Starships,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,0,95,dance pop,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,audio_features,1oHNvJVbFkexQc0BpQp7Y4,210627,4
8,2ICylmg7jCYdOWUFNa8VW7,43,Buttons - Featuring Big Snoop Dogg,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,1,77,dance pop,0.524,0.809,2,-4.787,1,0.335,0.185,0.0,0.345,0.532,210.893,audio_features,2ICylmg7jCYdOWUFNa8VW7,231293,4
9,4gdx3sBwgfZTZAqxKzQVTA,55,Booty Wurk (One Cheek At a Time),T-Pain,3aQeKQSyrW4qWr35idm0cy,1,83,dance pop,0.782,0.676,1,-6.144,1,0.324,0.00786,1.17e-06,0.141,0.878,158.162,audio_features,4gdx3sBwgfZTZAqxKzQVTA,235733,4
10,14B2bUopOga5V3ypld7d6n,58,Suga Suga,Baby Bash,12PSlydMSjEHzSCj9X5qv7,1,68,chicano rap,0.691,0.741,5,-3.033,0,0.252,0.703,1.11e-05,0.109,0.512,82.525,audio_features,14B2bUopOga5V3ypld7d6n,243493,4
11,371GoHoueVN53jY8MoWufq,41,What Is It,Baby Bash,12PSlydMSjEHzSCj9X5qv7,1,68,chicano rap,0.738,0.755,8,-5.728,1,0.0391,0.0272,0.0,0.273,0.19,93.047,audio_features,371GoHoueVN53jY8MoWufq,201120,4
12,27mhCGdAA8gM7b33KIiB3k,56,Cyclone (feat. T-Pain),Baby Bash,12PSlydMSjEHzSCj9X5qv7,1,68,chicano rap,0.641,0.72,11,-4.326,1,0.0552,0.0102,0.0,0.154,0.578,77.969,audio_features,27mhCGdAA8gM7b33KIiB3k,222027,4
13,5eLovQzx9cm6RkQq388JyN,44,Smack That,Akon,0z4gvV4rjIZ9wHck67ucSV,1,83,dance pop,0.939,0.742,5,-5.171,0,0.0467,0.321,0.0,0.107,0.924,118.978,audio_features,5eLovQzx9cm6RkQq388JyN,212360,4
14,0zePmouXTtdaaEV7UFelHt,31,I Wanna Love You - Album Version (Edited),Akon,0z4gvV4rjIZ9wHck67ucSV,1,83,dance pop,0.859,0.467,9,-9.417,0,0.0391,0.0425,0.0,0.322,0.387,99.974,audio_features,0zePmouXTtdaaEV7UFelHt,247053,4
15,1Yu3bzzG3FXx6d7mGslIwC,18,Gangsta Bop - Album Version (Edited),Akon,0z4gvV4rjIZ9wHck67ucSV,0,83,dance pop,0.775,0.354,5,-7.13,0,0.252,0.0815,0.0,0.0745,0.751,176.08,audio_features,1Yu3bzzG3FXx6d7mGslIwC,246227,4
16,27YQex3TDHS8qGtP0xNHCW,0,Candy Shop,50 Cent,3q7HBObVc0L8jNeTe5Gofh,1,86,east coast hip hop,0.612,0.576,6,-7.983,1,0.454,0.026,7.96e-05,0.374,0.745,129.08,audio_features,27YQex3TDHS8qGtP0xNHCW,209107,5
17,2XkLxzRU0UnpSzmJEPcxmD,0,Just A Lil Bit,50 Cent,3q7HBObVc0L8jNeTe5Gofh,0,86,east coast hip hop,0.422,0.708,1,-6.737,1,0.5,0.0344,0.00756,0.322,0.512,191.092,audio_features,2XkLxzRU0UnpSzmJEPcxmD,237707,4
18,2bvwaRaRVF3inbXIig555h,1,Disco Inferno,50 Cent,3q7HBObVc0L8jNeTe5Gofh,0,86,east coast hip hop,0.921,0.659,2,-4.852,0,0.25,0.26,6.82e-05,0.216,0.663,97.055,audio_features,2bvwaRaRVF3inbXIig555h,214227,4
