,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,1JqcuWreCl5cNVsX7TKGss,58,Jersey on the Wall - I'm Just Asking,Tenille Townes,3TyeX0lk4B7k56ukfzEE0z,0,61,alberta country,0.647,0.65,0,-7.219,1,0.0332,0.159,0.0104,0.0818,0.567,141.938,audio_features,1JqcuWreCl5cNVsX7TKGss,245813,4
1,4hPpVbbakQNv8YTHYaOJP4,84,One Thing Right,Marshmello,64KEffDW9EtZ1y2vBYgq8T,1,90,brostep,0.659,0.623,4,-2.253,1,0.0451,0.0667,0.0,0.582,0.439,88.042,audio_features,4hPpVbbakQNv8YTHYaOJP4,181824,4
2,7dnDBbHKyJNFXoeVwO8KBY,73,Blessings,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,0,83,contemporary country,0.466,0.672,4,-5.926,1,0.036,0.737,0.0,0.0858,0.334,89.081,audio_features,7dnDBbHKyJNFXoeVwO8KBY,198520,4
3,5M8goiFYynmNxhueYW6grR,74,Nobody But You (Duet with Gwen Stefani),Blake Shelton,1UTPBmNbXNTittyMJrNkvw,1,79,contemporary country,0.463,0.653,0,-5.515,1,0.0273,0.111,0.000136,0.172,0.233,143.912,audio_features,5M8goiFYynmNxhueYW6grR,194867,4
4,5ppDdMho96v8gdDm7HKEbK,71,Nothing Like You,Luke Combs,718COspgdWOnwOFpJHRZHS,0,86,contemporary country,0.62,0.443,5,-7.984,1,0.028,0.355,0.0,0.108,0.339,141.976,audio_features,5ppDdMho96v8gdDm7HKEbK,196320,4
5,5M3v6frAiTyqenNAeQVcxC,73,What She Wants Tonight,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,0,80,contemporary country,0.484,0.903,8,-3.9,0,0.0882,0.0649,0.0,0.151,0.716,169.948,audio_features,5M3v6frAiTyqenNAeQVcxC,186988,4
6,0LcspVKJxhEQQSvVMiTPWz,73,More Hearts Than Mine,Ingrid Andress,0jPnVIasXzBYjrlpO5irii,0,65,contemporary country,0.413,0.428,0,-7.414,1,0.0296,0.111,0.0,0.114,0.391,79.985,audio_features,0LcspVKJxhEQQSvVMiTPWz,214160,4
7,2Hc4t9N2nt37oO4sF9BynI,77,I Hope,Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,0,69,contemporary country,0.561,0.536,6,-6.227,1,0.0346,0.0951,0.0,0.114,0.378,150.014,audio_features,2Hc4t9N2nt37oO4sF9BynI,209229,4
8,5ZcGhTRoqRvN5RoWW1MRg3,67,Man Enough Now - Radio Edit,Chris Bandi,10I1X1Vygp2J6R4jP5gF10,0,58,contemporary country,0.56,0.673,2,-4.632,1,0.0343,0.0381,0.0,0.133,0.531,156.045,audio_features,5ZcGhTRoqRvN5RoWW1MRg3,184507,5
9,4yLToNshTGzYP9BGGmnLm3,58,No One Like You,Alee,6jb3bTBWDo0CYqNuvIcyJe,0,49,alberta country,0.575,0.737,5,-4.119,1,0.0272,0.0695,0.0,0.129,0.509,105.041,audio_features,4yLToNshTGzYP9BGGmnLm3,180892,4
10,2uJwGoHVPStmWV7iTKEhcn,16,Make Me Want To,Jimmie Allen,147nKr9upHZSSxqCzh9j7c,0,66,contemporary country,0.519,0.872,2,-3.212,1,0.0616,0.0793,0.0,0.111,0.74,179.965,audio_features,2uJwGoHVPStmWV7iTKEhcn,172280,4
11,1D7cfiC5mxqHfTCcOiRBej,45,Love You Like I Used To,Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,0,70,contemporary country,0.501,0.788,10,-4.624,1,0.0415,0.12,0.0,0.137,0.61,152.047,audio_features,1D7cfiC5mxqHfTCcOiRBej,186613,4
12,0ADmzFBX4aO3kFymfXpZeE,65,Ruin That For Me,Avenue Beat,1htYtUdXVMwR6HCSs821Lc,0,55,country pop,0.695,0.718,6,-3.492,1,0.0271,0.28,0.0,0.0871,0.895,114.963,audio_features,0ADmzFBX4aO3kFymfXpZeE,163053,4
13,6JOeNbZ3X6dtXusG3hkHn8,70,We Were,Keith Urban,0u2FHSq3ln94y5Q57xazwf,0,76,australian country,0.44,0.803,5,-6.162,1,0.0512,0.127,0.0,0.128,0.633,79.312,audio_features,6JOeNbZ3X6dtXusG3hkHn8,189104,4
