,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,322tcqPhma7F6hfCeLisx0,81,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,5JZ7CnR6gTvEMKX4g70Amv,1,90,pop,0.806,0.558,9,-6.46,1,0.0683,0.482,0.0,0.0618,0.678,95.016,audio_features,322tcqPhma7F6hfCeLisx0,198973,4
1,4evmHXcjt3bTUHD1cvny97,87,Beautiful People (feat. Khalid),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,1,97,pop,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,audio_features,4evmHXcjt3bTUHD1cvny97,197867,4
2,6LsAAHotRLMOHfCsSfYCsz,82,If I Can't Have You,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,0,93,canadian pop,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,audio_features,6LsAAHotRLMOHfCsSfYCsz,190800,4
3,2wrJq5XKLnmhRXHIAf9xBa,89,"10,000 Hours (with Justin Bieber)",Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,1,85,contemporary country,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,167693,4
4,18uwL0vNUanqZH0ro2QcOP,83,comethru,Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,0,83,pop,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982,audio_features,18uwL0vNUanqZH0ro2QcOP,181613,4
5,7COXchtUOMd6uIT6HvmRaI,81,i'm so tired...,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1,90,pop,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,audio_features,7COXchtUOMd6uIT6HvmRaI,162583,4
6,1SNiXDwSilLujcYdvfqVpT,52,Call You Mine,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,1,91,electropop,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,audio_features,1SNiXDwSilLujcYdvfqVpT,217653,4
7,4tNXntkAzQ5A2dfYRYGIIQ,79,Easier,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,0,87,boy band,0.505,0.428,5,-5.604,1,0.221,0.489,0.0,0.0977,0.618,175.813,audio_features,4tNXntkAzQ5A2dfYRYGIIQ,157493,4
8,5kfNriitmkNE8mUbZ7gbq8,77,Saturday Nights,Khalid,6LuN9FCkKOj5PcnpouEgny,0,96,alternative r&b,0.551,0.44,10,-8.559,1,0.0985,0.606,3.02e-05,0.11,0.341,167.923,audio_features,5kfNriitmkNE8mUbZ7gbq8,210667,4
9,4a6q8CR2hzLk2plDkSxkfD,84,I.F.L.Y.,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,0,85,pop,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.554,104.954,audio_features,4a6q8CR2hzLk2plDkSxkfD,165714,4
10,1wjzFQodRWrPcQ0AnYnvQ9,82,I Like Me Better,Lauv,5JZ7CnR6gTvEMKX4g70Amv,0,90,pop,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,audio_features,1wjzFQodRWrPcQ0AnYnvQ9,197437,4
11,5p7ujcrUXASCNwRaWNHR1C,85,Without Me,Halsey,26VFTg2z8YR0cCuwLzESi2,0,95,dance pop,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,5p7ujcrUXASCNwRaWNHR1C,201661,4
12,5QiNbIilmMiMBXvaAlf7lN,19,Who Do You Love,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,1,91,electropop,0.51,0.835,3,-4.673,1,0.0447,0.00791,0.0,0.219,0.435,140.024,audio_features,5QiNbIilmMiMBXvaAlf7lN,226747,4
13,3HVWdVOQ0ZA45FuZGSfvns,88,I Don't Care (with Justin Bieber),Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,1,97,pop,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,audio_features,3HVWdVOQ0ZA45FuZGSfvns,219947,4
14,4y3OI86AEP6PQoDE6olYhO,62,Sucker,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,0,89,boy band,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,audio_features,4y3OI86AEP6PQoDE6olYhO,181040,4
