,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,6XXYdF6pJR1K3wKvuxmu7n,75,Feel Me,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,0,93,dance pop,0.722,0.806,2,-6.646,0,0.0429,0.429,0.000482,0.0823,0.417,99.971,audio_features,6XXYdF6pJR1K3wKvuxmu7n,226003,4
1,4ejyZ4uJEXUURcgKp1kP8v,86,After Hours,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0,97,canadian contemporary r&b,0.661,0.571,5,-5.994,0,0.034,0.101,0.0095,0.124,0.163,108.957,audio_features,4ejyZ4uJEXUURcgKp1kP8v,361947,4
2,5RUUkFNqH3GRKHg1xjprOb,71,Old Me,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,0,88,boy band,0.73,0.643,0,-3.694,1,0.0647,0.303,0.0,0.252,0.476,127.945,audio_features,5RUUkFNqH3GRKHg1xjprOb,184667,4
3,7MZF7YLxOP2to9iblSulLc,70,Modern Loneliness,Lauv,5JZ7CnR6gTvEMKX4g70Amv,0,90,pop,0.702,0.508,8,-7.105,1,0.035,0.144,0.0,0.108,0.143,82.008,audio_features,7MZF7YLxOP2to9iblSulLc,252337,4
4,2ZlCGeK30BLRNSPC832pNZ,87,Forever (feat. Post Malone & Clever),Justin Bieber,1uNFoZAHBGtllmzznpCI3s,1,99,canadian pop,0.825,0.483,8,-5.746,0,0.08,0.538,1.48e-05,0.204,0.892,139.98,audio_features,2ZlCGeK30BLRNSPC832pNZ,219933,4
5,1GVF9369j7InydwGztCDIZ,77,Good In Goodbye,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,0,80,dance pop,0.658,0.698,11,-5.95,0,0.177,0.433,0.0,0.174,0.457,139.054,audio_features,1GVF9369j7InydwGztCDIZ,141949,4
6,7eJMfftS33KTjuF7lTsMCx,83,death bed (feat. beabadoobee),Powfu,6bmlMHgSheBauioMgKv2tn,1,77,emo rap,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,audio_features,7eJMfftS33KTjuF7lTsMCx,173333,4
7,2ZTYlnhhV1UAReg7wIGolx,84,To Die For,Sam Smith,2wY79sveU1sp5g7SokKOiI,0,92,pop,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,audio_features,2ZTYlnhhV1UAReg7wIGolx,193795,4
8,4XII12nbsvJblXfG1I2QR4,71,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,6CwfuxIqcltXDGjfZsMd9A,0,77,dance pop,0.636,0.758,0,-5.567,1,0.0427,0.331,1.01e-05,0.16,0.281,97.025,audio_features,4XII12nbsvJblXfG1I2QR4,214107,4
9,3IB5qOeMayvpOdHxYCL5tZ,77,ON (Feat. Sia),BTS,3Nrfpe0tUJi4K4DXYWgMUX,1,95,k-pop,0.591,0.848,9,-4.397,0,0.0828,0.137,0.0,0.372,0.386,105.922,audio_features,3IB5qOeMayvpOdHxYCL5tZ,246816,4
