,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,4wNIkl5XGiAACjFBlDWuSd,90,What A Man Gotta Do,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,0,89,boy band,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,audio_features,4wNIkl5XGiAACjFBlDWuSd,180645,4
1,2tOOcDDYkh0PSjr6GwPEAJ,77,Love Me Less (feat. Quinn XCII),MAX,1bqxdqvUtPWZri43cKHac8,1,77,dance pop,0.732,0.856,11,-2.2,0,0.0929,0.0828,0.0,0.323,0.771,145.034,audio_features,2tOOcDDYkh0PSjr6GwPEAJ,177670,4
2,2B7oyUTr2pCsUqPy4bgiYB,72,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,5JZ7CnR6gTvEMKX4g70Amv,1,90,pop,0.806,0.558,9,-6.46,1,0.0683,0.482,0.0,0.0618,0.678,95.016,audio_features,2B7oyUTr2pCsUqPy4bgiYB,198973,4
3,3OaunNUlXXs5e2PXtNAzzG,72,UCLA,RL Grime,5eIbEEQnDM8yuDVB0bimSP,1,71,bass trap,0.536,0.879,1,-3.019,1,0.0621,0.0742,0.0,0.0847,0.334,140.137,audio_features,3OaunNUlXXs5e2PXtNAzzG,192000,4
4,6LsAAHotRLMOHfCsSfYCsz,82,If I Can't Have You,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,0,92,canadian pop,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,audio_features,6LsAAHotRLMOHfCsSfYCsz,190800,4
5,36orMWv2PgvnzXsd5CJ0yL,74,Post Malone (feat. RANI),Sam Feldt,20gsENnposVs2I4rQ5kvrf,1,82,dance pop,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,audio_features,36orMWv2PgvnzXsd5CJ0yL,174444,4
6,6LKYeyLt4G4SlZ6OJwFhVS,10,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,69GGBxA162lTqCwzJG5jLp,1,91,electropop,0.539,0.651,1,-5.304,1,0.0432,0.0651,0.0,0.0662,0.474,105.159,audio_features,6LKYeyLt4G4SlZ6OJwFhVS,199227,4
7,7COXchtUOMd6uIT6HvmRaI,81,i'm so tired...,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1,90,pop,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,audio_features,7COXchtUOMd6uIT6HvmRaI,162583,4
8,5PYQUBXc7NYeI1obMKSJK0,84,Never Really Over,Katy Perry,6jJ0s89eD6GaHleKKya26X,0,88,dance pop,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,audio_features,5PYQUBXc7NYeI1obMKSJK0,223523,4
9,1mpD5Q8IM32I4bF6eCpU74,82,Up All Night,Khalid,6LuN9FCkKOj5PcnpouEgny,0,96,alternative r&b,0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,audio_features,1mpD5Q8IM32I4bF6eCpU74,157220,4
10,5IUOU5xkzGHsRFOYNu3GSK,81,No Judgement,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,0,84,dance pop,0.726,0.736,1,-3.844,0,0.0495,0.0532,5.63e-05,0.0647,0.956,99.991,audio_features,5IUOU5xkzGHsRFOYNu3GSK,176283,4
11,11cDEev79fPKi6uJCjUhu8,21,Who Do You Love,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,1,91,electropop,0.51,0.835,3,-4.673,1,0.0447,0.00791,0.0,0.219,0.435,140.024,audio_features,11cDEev79fPKi6uJCjUhu8,226747,4
12,29fRTIKsJhLUJoldM89GZS,35,You Need To Calm Down,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0,95,dance pop,0.769,0.678,2,-5.604,1,0.0507,0.00838,0.0,0.0596,0.706,85.025,audio_features,29fRTIKsJhLUJoldM89GZS,171387,4
13,3jjujdWJ72nww5eGnfs2E7,86,Adore You,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0,93,dance pop,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,audio_features,3jjujdWJ72nww5eGnfs2E7,207133,4
14,07Oz5StQ7GRoygNLaXs2pd,86,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,56oDRnqbIiwx4mymNEv7dS,1,87,escape room,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,0.478,95.927,audio_features,07Oz5StQ7GRoygNLaXs2pd,159011,4
15,4y3OI86AEP6PQoDE6olYhO,58,Sucker,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,0,89,boy band,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,audio_features,4y3OI86AEP6PQoDE6olYhO,181040,4
16,1wjzFQodRWrPcQ0AnYnvQ9,82,I Like Me Better,Lauv,5JZ7CnR6gTvEMKX4g70Amv,0,90,pop,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,audio_features,1wjzFQodRWrPcQ0AnYnvQ9,197437,4
17,4PkIDTPGedm0enzdvilLNd,79,Sixteen,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,0,86,dance pop,0.669,0.801,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,audio_features,4PkIDTPGedm0enzdvilLNd,201072,4
18,2grAr8pWMuLWn8ZYEE9wDV,72,Never Seen the Rain,Tones and I,2NjfBq1NflQcKSeiDooVjY,0,91,australian pop,0.485,0.461,9,-5.646,1,0.0444,0.44,0.0,0.232,0.324,87.009,audio_features,2grAr8pWMuLWn8ZYEE9wDV,200756,4
19,0rIAC4PXANcKmitJfoqmVm,80,Motivation,Normani,2cWZOOzeOm4WmBJRnD5R7I,0,82,dance pop,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,audio_features,0rIAC4PXANcKmitJfoqmVm,193837,4
20,22oEJW6r2rMb9z4IntfyEa,76,"Hey Look Ma, I Made It",Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,0,88,baroque pop,0.577,0.833,5,-3.337,1,0.0695,0.0137,0.0,0.121,0.58,107.936,audio_features,22oEJW6r2rMb9z4IntfyEa,169667,4
