,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,6WrI0LAC5M1Rw2MnX2ZvEg,97,Don't Start Now,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,0,94,dance pop,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,audio_features,6WrI0LAC5M1Rw2MnX2ZvEg,183290,4
1,0sf12qNH5qcw8qpgymFOqD,98,Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0,96,canadian contemporary r&b,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,audio_features,0sf12qNH5qcw8qpgymFOqD,201573,4
2,364dI1bYnvamSnBJ8JcNzN,86,Intentions,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,1,97,canadian pop,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,audio_features,364dI1bYnvamSnBJ8JcNzN,212869,4
3,4TnjEaWOeW0eKTKIEvJyCa,97,Falling,Trevor Daniel,7uaIm6Pw7xplS8Dy06V6pT,0,88,alternative r&b,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,audio_features,4TnjEaWOeW0eKTKIEvJyCa,159382,4
4,0nbXyq5TXYPCO7pr3N8S4I,100,The Box,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,0,96,melodic rap,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,0nbXyq5TXYPCO7pr3N8S4I,196653,4
5,5yY9lUy8nbvjM1Uyo1Uqoc,96,Life Is Good (feat. Drake),Future,1RyvyyTE3xzB2ZywiAwp0i,1,94,atl hip hop,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,audio_features,5yY9lUy8nbvjM1Uyo1Uqoc,237735,4
6,2usxQITOSDqvkYiI0oIwao,85,You should be sad,Halsey,26VFTg2z8YR0cCuwLzESi2,0,95,dance pop,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,audio_features,2usxQITOSDqvkYiI0oIwao,205473,4
7,3yOlyBJuViE2YSGn3nVE1K,93,My Oh My (feat. DaBaby),Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,1,95,dance pop,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,audio_features,3yOlyBJuViE2YSGn3nVE1K,170746,4
8,3ZCTVFBt2Brf31RLEnCkWJ,96,everything i wanted,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,0,99,electropop,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,audio_features,3ZCTVFBt2Brf31RLEnCkWJ,245426,4
9,3Dv1eDb0MEgF93GpLXlucZ,91,Say So,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,0,88,la indie,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,audio_features,3Dv1eDb0MEgF93GpLXlucZ,237893,4
