,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,artist_pop,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
0,55UCRHfezMCFfbGy0tfjTG,65,Monsters,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,0,77,contemporary country,0.649,0.4,6,-10.202,1,0.0455,0.513,1.18e-06,0.0774,0.393,157.895,audio_features,55UCRHfezMCFfbGy0tfjTG,200387,4
1,5G6Nf4Ytk3dzxnhfP2AhKR,67,Ocean,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,0,76,contemporary country,0.58,0.36,6,-7.93,1,0.0303,0.841,6.15e-06,0.129,0.302,99.194,audio_features,5G6Nf4Ytk3dzxnhfP2AhKR,210113,4
2,1mMLMZYXkMueg65jRRWG1l,76,When It Rains It Pours,Luke Combs,718COspgdWOnwOFpJHRZHS,0,86,contemporary country,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,audio_features,1mMLMZYXkMueg65jRRWG1l,240760,4
3,24TigVMgym0xm5pnyH8i2i,57,Born Here Live Here Die Here,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,0,81,contemporary country,0.51,0.74,2,-5.741,1,0.0392,0.0684,5.06e-06,0.0491,0.326,132.213,audio_features,24TigVMgym0xm5pnyH8i2i,226173,4
4,7A6UIxi15awyiEbYbMF06V,65,Fight (feat. Florida Georgia Line),Tayla Parx,1LzWWI9v4UKdbBgz8fqi15,1,59,alternative r&b,0.495,0.585,7,-6.071,1,0.039,0.139,0.0,0.257,0.57,182.883,audio_features,7A6UIxi15awyiEbYbMF06V,197128,3
5,6QD7xOu1N8s2NVOKqn6je8,47,ABBY,Travis Denning,6CegFHnUqJcOBipgphZ2CJ,0,60,contemporary country,0.596,0.762,3,-4.576,1,0.0333,0.0363,0.0,0.0821,0.794,160.021,audio_features,6QD7xOu1N8s2NVOKqn6je8,195880,4
6,73nVXVgoqOuZfdbtONnWVE,68,Hard To Forget,Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,0,78,contemporary country,0.689,0.689,4,-5.517,1,0.045,0.23,0.0,0.57,0.664,130.069,audio_features,73nVXVgoqOuZfdbtONnWVE,204760,4
7,2nNaVLkmN8RYXNQiQb4ajI,53,Bra Off,RaeLynn,5dMnvpYEfXvSexjwnSRH5n,0,63,contemporary country,0.545,0.776,1,-4.904,1,0.0391,0.398,0.0,0.0845,0.961,199.953,audio_features,2nNaVLkmN8RYXNQiQb4ajI,166133,4
8,5z6kioF5lcjvAokZqLIucU,62,Can't Go to Church,Mitchell Tenpenny,1p6CdzJRoicjRcSdWoB9Qc,0,72,contemporary country,0.372,0.863,9,-4.761,0,0.0645,0.00238,0.0,0.283,0.546,174.276,audio_features,5z6kioF5lcjvAokZqLIucU,270729,4
9,17TSJlshgQ5zu0e8dedAla,69,Does To Me (feat. Eric Church),Luke Combs,718COspgdWOnwOFpJHRZHS,1,86,contemporary country,0.616,0.849,0,-4.897,1,0.0373,0.308,0.0,0.311,0.639,113.066,audio_features,17TSJlshgQ5zu0e8dedAla,223320,4
10,51FVpJr3WL7vvdfCa7j2jr,59,Momma’s House,Dustin Lynch,1dID9zgn0OV0Y8ud7Mh2tS,0,74,contemporary country,0.633,0.858,11,-3.509,0,0.0355,0.278,0.0,0.315,0.541,119.997,audio_features,51FVpJr3WL7vvdfCa7j2jr,220160,4
11,5PAvFGse5jjDH9ke8Mae7D,71,Just the Way,Parmalee,4TshyQDihSYXSWqvclXl3I,1,64,contemporary country,0.426,0.829,9,-2.84,1,0.0569,0.107,0.0,0.317,0.814,180.241,audio_features,5PAvFGse5jjDH9ke8Mae7D,193880,4
12,6zU7aJbrPLAzhpU7arCyK7,51,You Kissed Me First,Carly Pearce,4sIl4BTo9l9KqEi0Y3RE72,0,71,contemporary country,0.585,0.73,4,-4.415,1,0.0439,0.146,0.0,0.325,0.791,76.066,audio_features,6zU7aJbrPLAzhpU7arCyK7,196867,4
13,3sY5RuNDojdpEXHUIEAsWF,34,Can You,Rachele Lynae,6wDHUl1VmlO9BrDdly0ut6,0,34,NA,0.745,0.79,6,-4.614,1,0.0479,0.401,1.57e-06,0.356,0.921,125.985,audio_features,3sY5RuNDojdpEXHUIEAsWF,171467,4
