index,track_ids,track_pop,track_name,artist,artist_ids,featured_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_pop,genre,category
0,3GJ4hzg4lrGwU51Y3VARbF,78,Speechless,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,0,0.616,0.43799999999999994,1,-5.968,1,0.0298,0.35600000000000004,0.0,0.24,0.386,135.929,213387,4,85,contemporary country,country
1,2rxQMGVafnNaRaXlRMWPde,79,Beautiful Crazy,Luke Combs,718COspgdWOnwOFpJHRZHS,0,0.552,0.402,11,-7.431,1,0.0262,0.6759999999999999,0.0,0.0928,0.382,103.31299999999999,193200,4,86,contemporary country,country
2,7Lr4XaxGpkAwa37IVgg22k,69,Back To Life,Rascal Flatts,0a1gHP0HAqALbEyxaD5Ngn,0,0.467,0.701,4,-4.997,1,0.0302,0.191,0.0,0.0769,0.28,132.041,214219,3,76,contemporary country,country
3,5kp3JbZL1ROMxc32pcpn29,58,Slow Dance In A Parking Lot,Jordan Davis,77kULmXAQ6vWer7IIHdGzI,0,0.519,0.833,7,-4.47,1,0.0344,0.303,1.39e-06,0.16899999999999998,0.514,81.992,193929,4,72,contemporary country,country
4,1wPiUPw9IqSchKwinw7dCf,10,Made For You,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT,0,0.541,0.452,1,-6.129,1,0.0279,0.762,1.98e-05,0.114,0.325,82.052,238040,4,72,contemporary country,country
5,2u7Nm46dAujcAi5Rw79CJL,11,Eyes On You,Chase Rice,6pBNfggcZZDCmb0p92OnGn,0,0.606,0.652,9,-6.982,1,0.0281,0.32299999999999995,0.0,0.201,0.47600000000000003,97.155,182493,4,73,contemporary country,country
6,7AmQ1Qpbp3Bb3CDLnMbWWq,59,World For Two,King Calaway,1IdbSuYtF7RSaFarmctwoE,0,0.677,0.446,10,-8.096,1,0.025,0.315,0.0,0.212,0.44,96.947,185640,4,51,contemporary country,country
7,5MwynWK9s4hlyKHqhkNn4A,77,Chasin' You,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,0,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4,82,contemporary country,country
8,1D7cfiC5mxqHfTCcOiRBej,69,Love You Like I Used To,Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,0,0.501,0.7879999999999999,10,-4.624,1,0.0415,0.12,0.0,0.13699999999999998,0.61,152.047,186613,4,72,contemporary country,country
9,0Cs31CzQp6peDLWVCK0app,29,Ocean,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,0,0.58,0.36,6,-7.93,1,0.0303,0.841,6.15e-06,0.129,0.302,99.194,210113,4,76,contemporary country,country
10,3hiInJVk1CpxELmEJiU0uP,12,The Difference,Tyler Rich,78eqps3BavCqe2q7GCU1VK,0,0.5379999999999999,0.764,9,-5.235,1,0.0556,0.12,1.41e-06,0.111,0.6990000000000001,169.919,187867,4,59,contemporary country,country
11,3hhSnbFhuGnXieFa1ql61R,66,Blessed,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,0,0.536,0.496,7,-6.027,1,0.028999999999999998,0.314,0.0,0.11,0.49700000000000005,175.007,214173,3,80,contemporary country,country
12,10M2Ex445zw585Ducldzkw,72,In Case You Didn't Know,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,0,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,224853,4,76,contemporary country,country
13,6GEzLG3Lxqy0oFLxiRj0HM,9,Yours,Russell Dickerson,1E2AEtxaFaJtH0lO7kgNKw,0,0.551,0.725,11,-6.005,1,0.034,0.127,0.0,0.0935,0.575,134.047,216893,4,72,contemporary country,country
14,425bCdRNNdkcxYWrMuhr2Z,55,Chasin' Me,Caroline Jones,3xl6isKUFqJNui79kpdT0Y,0,0.7040000000000001,0.662,5,-4.656000000000001,1,0.024,0.581,0.0,0.14800000000000002,0.624,107.993,248433,4,50,country pop,country
15,1HXy5I3HTWq8OvxCn0z7G7,76,Heaven,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,0,0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.009,179507,4,82,contemporary country,country
16,1NpSPbM86yviUBBfsYtvvy,56,You Got Me,Olivia Lane,3Og5as5vV5n1iTR5iaNNZ6,0,0.519,0.7390000000000001,6,-3.5839999999999996,1,0.0403,0.38299999999999995,0.0,0.18899999999999997,0.324,88.891,200981,4,49,contemporary country,country
17,7xELq8WliIctkuvWXONX6d,58,Closer To You,Carly Pearce,4sIl4BTo9l9KqEi0Y3RE72,0,0.662,0.685,4,-4.561,0,0.0302,0.125,0.0,0.0961,0.447,111.964,187321,4,71,contemporary country,country
18,6EGAfJaLUFzhS4zRBIEQ2J,71,You Make It Easy,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,0,0.375,0.574,7,-5.305,1,0.0315,0.14300000000000002,0.0,0.11,0.406,132.025,196800,3,80,contemporary country,country
19,59fi7eaSe4DuCqfua35m2W,10,Diamonds or Twine,Ryan Hurd,7lDVEkjIURPMyUYwoQRrpw,0,0.621,0.568,2,-8.795,1,0.0311,0.145,1.65e-06,0.10800000000000001,0.7240000000000001,148.047,211085,4,68,contemporary country,country
