track_ids,track_pop,track_name,artist,artist_ids,featured_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_pop,genre,category
03fT3OHB9KyMtGMt2zwqCT,73,Play It Again,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,0,0.506,0.8859999999999999,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,226867,4,81,contemporary country,country
7mldq42yDuxiUNn08nvzHO,77,Body Like A Back Road,Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,0,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.6609999999999999,98.938,165387,4,78,contemporary country,country
05ZACkzW8YbRq3eFgIfSNB,71,Springsteen,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,0,0.6920000000000001,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,263387,4,77,contemporary country,country
5S5rw0WLVCAux5B5bWCehK,68,I Like The Sound Of That,Rascal Flatts,0a1gHP0HAqALbEyxaD5Ngn,0,0.611,0.8,0,-5.61,1,0.0377,0.257,0.0,0.194,0.527,89.97399999999998,209280,4,76,contemporary country,country
1Wjk9qHVbxgOopOEP9SqLW,7,Sleep Without You,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,0,0.631,0.716,10,-5.712999999999999,1,0.0432,0.013,0.0,0.0756,0.647,88.541,187813,4,76,contemporary country,country
1TwLKNsCnhi1HxbIi4bAW0,70,House Party,Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,0,0.747,0.861,8,-5.251,1,0.0514,0.113,0.0,0.026,0.8590000000000001,103.966,190240,4,78,contemporary country,country
7iDa6hUg2VgEL1o1HjmfBn,79,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,1,0.643,0.7829999999999999,10,-6.457999999999998,1,0.0856,0.047,0.0,0.083,0.579,154.084,163870,4,87,dance pop,country
7px4t7HGiuMUvFkEOpZEwp,64,Song for Another Time,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,0,0.4970000000000001,0.805,11,-3.995,1,0.0332,0.125,0.0,0.16699999999999998,0.696,166.048,191827,4,77,contemporary country,country
3ksmU0DaEUMEVzx5V6cc3z,37,One Man Band,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,0,0.705,0.363,6,-8.327,1,0.0355,0.667,0.0,0.112,0.482,75.98,186520,4,77,contemporary country,country
3npzogdOEiVsieXmmhBepL,79,The Bones,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,0,0.612,0.57,11,-6.642,0,0.0347,0.279,0.0,0.0963,0.335,77.00399999999998,197293,4,81,contemporary country,country
42fw0rxRO2xbesF6mJfd4Y,75,Tequila,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,0,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,196747,4,85,contemporary country,country
6MBUUSIWCzaXW4q58Ktrv9,71,Slow Dance In A Parking Lot,Jordan Davis,77kULmXAQ6vWer7IIHdGzI,0,0.523,0.8370000000000001,7,-4.494,1,0.0335,0.301,0.0,0.172,0.523,82.006,193929,4,72,contemporary country,country
2wrJq5XKLnmhRXHIAf9xBa,89,"10,000 Hours (with Justin Bieber)",Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,1,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4,85,contemporary country,country
1kqVSbwdlNKsPGv0aehcAZ,37,What If I Never Get Over You,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,0,0.58,0.725,0,-5.124,1,0.0273,0.016,0.0,0.107,0.369,93.014,206230,4,76,contemporary country,country
1Ut1A8UaNqGuwsHgWq75PW,60,Lonely If You Are,Chase Rice,6pBNfggcZZDCmb0p92OnGn,0,0.593,0.745,7,-4.37,1,0.0574,0.19,0.0,0.227,0.8490000000000001,169.951,175067,4,73,contemporary country,country
11dJXX4oXQBZLkVwuQ8oxw,11,Lost In Your Love,Music Travel Love,2qNrJcE9LjzPdiXbrjkqFa,0,0.82,0.624,0,-6.386,1,0.0574,0.225,1.38e-06,0.168,0.633,106.023,164939,4,64,canadian contemporary country,country
6arLnfArtdWKOcCYzDd4rS,59,Nowhere Fast,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,0,0.7879999999999999,0.488,7,-7.319,1,0.0286,0.46,4.52e-06,0.0751,0.48,101.974,188960,4,77,contemporary country,country
79qxwHypONUt3AFq0WPpT9,72,Rainbow,Kacey Musgraves,70kkdajctXSbqSMJbQO424,0,0.581,0.197,3,-7.697,1,0.0329,0.88,0.0,0.107,0.349,130.36700000000002,214293,4,78,contemporary country,country
